Address,Price,Bathrooms,Bedrooms,Area,Property Type
"Airport Housing Society, Sector 4, Rawalpindi",3.1 Crore,6,6,8 marla,residential
"Multi Gardens, B-17, Block-C, Islamabad",71.3 Lac,0,0,155 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.95 Crore,5,5,7 marla,residential
"Bahria Town Phase 8 Lakeview block, Rawalpindi",4.6 Crore,5,6,10 marla,residential
"Bahria Town Phase 7, Rawalpindi",1.85 Crore,0,0,1010 sqft,commercial
"Bahria Town - Sector E , Lahore",4.85 Crore,4,4,10 marla,residential
"New Super Town, Lahore",25 Crore,0,0,12 marla,commercial
"Bahria Town - Sector E , Lahore",1.98 Crore,4,4,5 marla,residential
"DHA Homes, Islamabad",1.6 Crore,3,3,8 marla,residential
"Snober City, Rawalpindi",1.25 Crore,3,3,5 marla,residential
"DHA Homes, Islamabad",1.64 Crore,3,3,8 marla,residential
"LDA Avenue Phase 1, Lahore",3.9 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"G-15/2, Islamabad",38.5 Lac,0,0,220 sqft,commercial
"I-14, Islamabad",2.7 Crore,3,4,4 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"DHA Homes, Islamabad",1.67 Crore,3,3,8 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.1 Crore,5,5,7 marla,residential
"Bahria Town Phase 5, Islamabad",4.3 Crore,5,6,10 marla,residential
"Wapda Town Phase 1, Lahore",2.25 Crore,5,5,5 marla,residential
"Bahria Town Phase 8, Block Rafi, Rawalpindi",1.75 Crore,3,4,5 marla,residential
"Bahria Town Phase 8, Block D , Rawalpindi",4.3 Crore,5,6,10 marla,residential
"Adyala Road, Rawalpindi",53 Lac,0,0,105 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",45 Lac,0,0,120 sqft,commercial
"DHA Phase 2, Sector-J, Islamabad",6.5 Crore,5,6,10 marla,residential
"Bahria Enclave, Islamabad",2.5 Crore,3,3,5 marla,residential
"Jubilee Town, Lahore",75 Lac,2,2,1000 sqft,residential
"Anarkali, Lahore",6.5 Crore,8,2,9 marla,commercial
"Bahria Town Phase 7, Rawalpindi",9.5 Crore,6,7,20 marla,residential
"LDA Avenue Phase 1, Lahore",3.9 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",2.3 Crore,4,4,5 marla,residential
"Pir Sohawa Road, Islamabad",70 Crore,0,0,100 kanal,commercial
"Faisal Margalla City, Islamabad",49 Lac,0,0,149 sqft,commercial
"Bahria Town Phase 2, Islamabad",12.5 Crore,5,6,1 kanal,residential
"DHA Phase 6, Lahore",16.5 Crore,4,4,1 kanal,residential
"Bahria Town - Sector D, Lahore",1.9 Crore,3,4,5 marla,residential
"Bahria Enclave, Sector A, Islamabad",7.9 Crore,0,0,4 marla,commercial
"Bahria Town Phase 8, Rawalpindi",3.6 Crore,5,5,7 marla,residential
"Bhara Kahu, Islamabad",2.3 Crore,4,4,7 marla,residential
"Bahria Enclave, Sector B1, Islamabad",2.35 Crore,0,0,4 marla,commercial
"I-14, Islamabad",2.3 Crore,5,6,5 marla,residential
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",58 Lac,0,0,410 sqft,commercial
"Gulberg, Lahore",85 Lac,0,1,250 sqft,commercial
"G-13/2, Islamabad",9.25 Crore,7,8,10.88 marla,residential
"Adyala Road, Rawalpindi",37 Lac,0,0,70 sqft,commercial
"E-11/4, Islamabad",80 Lac,1,1,380 sqft,residential
"Bahria Town Phase 8, Block Rafi, Rawalpindi",1.8 Crore,3,4,5 marla,residential
"Bahria Town - Sector E , Lahore",1.95 Crore,4,4,5 marla,residential
"Samanabad, Lahore",7.5 Crore,0,0,7 marla,commercial
"Bahria Town Phase 4, Islamabad",4.45 Crore,5,6,10 marla,residential
"Bahria Town - Sector E , Lahore",1.9 Crore,3,4,5 marla,residential
"DHA Phase 1, Lahore",6.5 Crore,5,5,21 marla,residential
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",4 Crore,5,5,10 marla,residential
"Faisal Margalla City, Islamabad",67 Lac,0,0,230 sqft,commercial
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"Adyala Road, Rawalpindi",50 Lac,0,0,90 sqft,commercial
"Raiwind Road, Lahore",40 Crore,0,0,9.5 kanal,commercial
"Bahria Town Phase 4, Islamabad",5 Crore,5,6,10 marla,residential
"Bahria Town Phase 4, Islamabad",4.2 Crore,5,6,10 marla,residential
"Jallo Wana, Lahore",1.25 Crore,0,0,4.96 marla,commercial
"Adyala Road, Rawalpindi",95 Lac,2,2,6 marla,residential
"Adyala Road, Rawalpindi",1.2 Crore,0,0,150 sqft,commercial
"G-8, Islamabad",85 Crore,0,0,12 marla,commercial
"New Blue Area, Islamabad",3.32 Crore,Studio,1,495 sqft,commercial
"Jubilee Town, Lahore",80 Lac,2,2,600 sqft,residential
